timestamp,TEMP,TEMP_qc,PRES,PRES_qc,CNDC,CNDC_qc,PSAL,PSAL_qc,SVEL,SVEL_qc
2019-04-04 13:55:02+00:00,14.6774,1,19.549,1,4.61343,1,38.2619,1,1509.79,1
2019-04-04 13:55:12+00:00,14.6783,1,19.556,1,4.61341,1,38.2609,1,1509.79,1
2019-04-04 13:55:22+00:00,14.6779,1,19.54,1,4.61342,1,38.2613,1,1509.79,1
2019-04-04 13:55:32+00:00,14.6774,1,19.558,1,4.6134,1,38.2616,1,1509.79,1
2019-04-04 13:55:42+00:00,14.6774,1,19.556,1,4.61347,1,38.2623,1,1509.79,1
2019-04-04 13:55:52+00:00,14.6778,1,19.52,1,4.61349,1,38.2621,1,1509.79,1
2019-04-04 13:56:02+00:00,14.6772,1,19.571,1,4.61343,1,38.2621,1,1509.79,1
2019-04-04 13:56:12+00:00,14.6768,1,19.535,1,4.61338,1,38.2621,1,1509.79,1
2019-04-04 13:56:22+00:00,14.6774,1,19.554,1,4.61341,1,38.2617,1,1509.79,1
2019-04-04 13:56:32+00:00,14.677,1,19.593,1,4.61337,1,38.2618,1,1509.79,1
2019-04-04 13:56:42+00:00,14.6769,1,19.573,1,4.61337,1,38.2618,1,1509.79,1
2019-04-04 13:56:52+00:00,14.6769,1,19.511,1,4.61339,1,38.262,1,1509.79,1
2019-04-04 13:57:02+00:00,14.6772,1,19.524,1,4.61343,1,38.2621,1,1509.79,1
2019-04-04 13:57:12+00:00,14.6764,1,19.555,1,4.61344,1,38.263,1,1509.79,1
2019-04-04 13:57:22+00:00,14.6744,1,19.553,1,4.61301,1,38.261,1,1509.78,1
2019-04-04 13:57:32+00:00,14.6726,1,19.529,1,4.61299,1,38.2626,1,1509.78,1
2019-04-04 13:57:42+00:00,14.672,1,19.581,1,4.61299,1,38.2632,1,1509.78,1
2019-04-04 13:57:52+00:00,14.6723,1,19.55,1,4.61296,1,38.2626,1,1509.78,1
2019-04-04 13:58:02+00:00,14.6725,1,19.529,1,4.61295,1,38.2623,1,1509.78,1
